,_RAJ2000,_DEJ2000,WDS,Name,HD,HIP,Date,PA,Sep,Dmag,Wave,FWHM,f_FWHM,SimbadName,_RA,_DE,Simbad plx,GAIA plx,V,R,J,H,K
568,14 18 58.2796,-06 36 13.128,14190-0636,BD-05 3853 ,125354, 69962,2007.4175,106.1,0.34700000000000003, 1.21,698,39, ,HIP  69962,214.74282999999997,-6.60365,,,,,,,
571,14 22 12.8349,+05 13 29.248,14222+0513,BD+05 2870 ,125882, 70233,2007.3274,132.6,0.391, 1.75,550,40, ,HIP  70233,215.55347999999998,5.2247900000000005,,,,,,,
574,14 22 43.3543,+02 16 28.773,14227+0216,BD+02 2806 ,125979, 70278,2007.3274,8.0,0.7440000000000001,     ,550,40, ,HIP  70278,215.68063999999998,2.27466,,,,,,,
577,14 25 47.7693,-26 51 08.073,14258-2651,CD-26 10280,126400, 70538,2007.423,257.1,0.9059999999999999,     ,754,44, ,HIP  70538,216.44904,-26.852240000000002,,,,,,,
578,14 26 02.3823,+42 13 05.128,14260+4213,BD+42 2498 ,126719, 70564,2007.4175,184.5,0.126, 0.24,698,39,a,HIP  70564,216.50992999999997,42.218090000000004,,12.754205891495054,,,,,
582,14 31 15.4261,+39 54 45.127,14313+3955,BD+40 2793 ,127615, 71000,2008.4661,286.0,0.077, 0.37,754,44, ,HIP  71000,217.81427999999997,39.91254,,,,,,,
584,14 32 58.0650,+06 55 58.837,14330+0656,BD+07 2803 ,127741, 71142,2007.322,61.2,0.217, 2.34,754,44, ,HIP  71142,218.24194,6.93301,,,,,,,
588,14 35 18.6616,+43 01 55.425,14353+4302,BD+43 2418 ,128387, 71336,2007.4176,302.1,0.49700000000000005, 3.27,698,39, ,HIP  71336,218.82776,43.032059999999994,,,,,,,
590,14 36 53.6892,-04 16 44.375,14369-0417,BD-03 3648 ,128428, 71462,2008.4633,162.2,0.73, 3.49,698,39, ,HIP  71462,219.2237,-4.27899,15.09,15.090007278662565,8.279999732971191,,7.123000144958496,6.8470001220703125,6.748000144958496
591,14 37 28.4671,+02 16 38.077,14375+0217,ADS 9323   ,128563, 71510,2007.3275,164.4,0.21100000000000002, 1.91,550,40,c,HIP  71510,219.36861000000002,2.27724,6.3049,6.304912122635321,9.739999771118164,,8.493000030517576,8.196999549865723,8.14799976348877
594,14 38 50.8825,-22 32 34.581,14388-2233,BD-21 3940 ,128688, 71619,2007.423,72.4,0.7240000000000001,     ,754,44, ,HIP  71619,219.71201000000002,-22.542939999999998,,,,,,,
