System number,Orbit number for that system,Period (d),error on P (d),Periastron time (JD-2400000),error on Periastron time,Flag on periastron time,eccentricity,error on eccentricity,argument of periastron (deg),error on omega,K1 (km/s),error on K1 (km/s),K2 (km/s),error on K2 (km/s),systemic velocity (km/s),error on V0 (km/s),rms RV1 (km/s),rms RV2 (km/s),RV1,RV2,Grade,Bibcode,Contributor,Accessibility,Reference adopted for the times (JD or MJD),Sp1,Sp2,radec,Simbad plx,GAIA plx,V,R,J,H,K,name
261,1,2.0563,,38805.169,,10,0.0,,0.0,,65.4,,,,-2.3,,,,,,3.0,1967MmSAI..38..459M,DAO,PUB,JD,B8V,,043815830+20410500,19.1164,,10.09000015258789,,7.889999866485597,7.328999996185303,7.138000011444093,HD 29365
262,1,60.821000000000005,,44397.6,,0,0.22,,143.0,,25.3,,,,42.4,,,,,,3.0,1985AJnan..90..609G,DAO,PUB,MJD,K5,,043824959+17323274,2.0338,1.83294327932,7.019999980926514,,7.046999931335449,7.170000076293945,7.146999835968018,HD 285947
263,1,2.2075,,24807.936,,0,0.08,,2.4,,124.9,,235.8,,25.3,,,,,,3.0,1932PDAOnan.6nan59P,DAO,PUB,JD,B3V,B5,043754336+07190345,17.4023,,5.076000213623047,,4.822999954223633,4.855999946594238,4.804999828338623,HD 29376
264,1,38.951,,43094.319,,0,0.15,,82.0,,7.9,,,,26.1,,,,,,1.0,1985ApJSnan59..229A,DAO,PUB,JD,Am,,043909217+15475944,17.6437,,9.475000381469727,,7.357999801635742,6.809000015258789,6.684999942779541,HD 29479
265,1,276.76,,43639.5,,0,0.12,,217.0,,14.4,,,,40.8,,,,,,2.0,1985AJnan..90..609G,DAO,PUB,MJD,K3V,,044025470+16304917,10.7072,,4.257999897003174,,4.795000076293945,4.565999984741211,4.617000102996826,HD 29608
266,1,2.9565,,36425.247,,0,0.05,,126.7,,53.6,,179.0,,12.3,,,,,,3.0,1961PDAOnan11..385P,DAO,PUB,JD,B3V,,044214702+22572493,23.4888,22.614210548600003,9.859999656677246,,7.750999927520753,7.198999881744385,7.0380001068115225,HD 29763
267,1,56.498999999999995,,43305.6,,0,0.35,,194.4,,27.1,,,,14.4,,,,,,3.0,1981AJnan..86..588G,DAO,PUB,MJD,dK8,,044301430+18424192,21.772,24.1687145434,9.920000076293944,,8.001999855041504,7.527999877929687,7.3959999084472665,HD 285970
268,1,3942.0,,44924.5,,0,0.56,,295.0,,4.1,,,,41.7,,,,,,3.0,1985AJnan..90..609G,DAO,PUB,MJD,K0,,044315702+17040878,1.53,7.94908064453,6.7,,,,,HD 29896
269,1,42.3279,,43778.178,,10,0.0,,0.0,,27.5,,,,39.8,,,,,,3.0,1982A&Anan105..318L,DAO,PUB,JD,G8III,,044334745-08473954,5.0604,5.549112558459999,7.880000114440918,,6.127999782562256,5.666999816894531,5.535999774932861,HD 30021
270,1,39.2807,,23882.057,,0,0.36,,314.3,,25.8,,,,32.0,,,,,,2.0,1945ApJnan101..370C,DAO,PUB,JD,Am,sgG8,044345831-10405602,9.8162,,5.980999946594237,,3.836999893188477,3.259000062942505,3.0750000476837163,HD 30050
271,1,107.50299999999999,,44406.3,,0,0.21,,256.0,,8.5,,,,44.0,,,,,,4.0,1985AJnan..90..609G,DAO,PUB,MJD,K0,,044616829+18440489,6.25,,4.0,,4.670000076293945,4.566999912261963,4.394999980926514,HD 30197
272,1,7.3589,,16392.46,,0,0.26,,150.0,,19.4,,,,23.3,,,,,,3.0,1969PDAOnan13..323H,DAO,PUB,JD,B5IV,,044530151-03151677,1.042,0.7534606822509999,7.510000228881836,,5.099999904632568,4.791999816894531,4.630000114440918,HD 30211
273,1,12700.0,,25450.0,,0,0.54,,226.0,,11.3,,,,6.9,,,,,,2.0,1987BAASnan19..710W,DAO,PUB,JD,F6-G0,,044746316+36432206,0.0046,,7.760000228881836,,6.4650001525878915,6.255000114440918,6.0250000953674325,HD 30282
274,1,360.47,,35141.74,,0,0.28,,268.4,,51.4,,,,7.0,,,,,,4.0,1962PDDOnan.2..269H,DAO,PUB,JD,Ape,,044853348+43163210,9.7628,,5.823999881744385,,5.317999839782715,5.25600004196167,5.204999923706055,HD 30353
275,1,7.0507,,26327.626,,0,0.03,,289.7,,57.8,,,,20.3,,,,,,4.0,1932PDAOnan.6nan79H,DAO,PUB,JD,A8m,,044919077+32351749,31.7511,,,6.5999999046325675,5.763999938964844,5.474999904632568,5.36899995803833,HD 30453
276,1,45.45399999999999,,23030.461,,0,0.39,,26.5,,13.6,,,,54.7,,,,,,3.0,1925ApJnan.61..320S,DAO,PUB,JD,G2V,,044842139+18423395,22.6507,,11.085000038146973,10.571000099182127,8.21399974822998,7.5900001525878915,7.374000072479247,HD 30455
277,1,8.4947,,44382.819,,10,0.0,,0.0,,26.7,,26.4,,41.6,,,,,,4.0,1985AJnan..90..609G,DAO,PUB,MJD,K9V,,04480110+1703220,20.1355,20.4661632223,9.491999626159668,,7.581999778747559,7.119999885559082,6.9559998512268075,Cl Melotte 25 331
278,1,11.9293,,42882.52,,0,0.51,,89.8,,60.9,,64.1,,41.1,,,,,,3.0,1978AJnan..83.1114G,DAO,PUB,JD,K3V,,044912986+24481023,0.52,,4.2899999618530265,4.179999828338623,4.199999809265137,4.380000114440918,4.242000102996826,HD 283882
279,1,3.6784,,43087.57,,0,0.49,,148.0,,8.0,,,,13.0,,,,,,1.0,1986PAZhnan12..304Z,DAO,PUB,JD,O9.5Iae,,045403011+66203364,19.8037,20.0724625101,7.265999794006348,,6.321000099182129,6.1459999084472665,6.060999870300293,HD 30614
280,1,5.751,,42192.56,,0,0.35,,54.9,,19.7,,,,42.7,,,,,,3.0,1978AJnan..83.1114G,DAO,PUB,MJD,F8,,045048544+16123764,7.6976,7.64012943911,10.829999923706056,10.69499969482422,9.394000053405762,8.98900032043457,8.881999969482422,HD 30738
281,1,19.3468,,44598.44,,0,0.44,,296.5,,30.6,,41.1,,78.5,,,,,,4.0,1985AJnan..90..609G,DAO,PUB,MJD,G3V,K3V,045112036+13104632,3.5979,,,,14.746999740600586,14.163000106811525,13.847999572753904,HD 287116
282,1,0.1176,,44574.560999999994,,12,0.0,,0.0,,150.0,,,,,,,,,,1.0,1984A&Anan132..187S,DAO,PUB,JD,,,04414070-7636458,3.1,,3.6800000667572017,3.740000009536743,4.0300002098083505,4.0900001525878915,4.130000114440918,GAIADR2 4625018043590839424
283,1,9.5191,,18275.65,,10,0.03,,165.0,,25.8,,,,23.3,,,,,,3.0,1936ApJnan.84nan85L,DAO,PUB,JD,B2III,,045112364+05361837,22.6608,,6.25,7.34,5.235,5.03,4.941,HD 30836
