System number,Orbit number for that system,Period (d),error on P (d),Periastron time (JD-2400000),error on Periastron time,Flag on periastron time,eccentricity,error on eccentricity,argument of periastron (deg),error on omega,K1 (km/s),error on K1 (km/s),K2 (km/s),error on K2 (km/s),systemic velocity (km/s),error on V0 (km/s),rms RV1 (km/s),rms RV2 (km/s),RV1,RV2,Grade,Bibcode,Contributor,Accessibility,Reference adopted for the times (JD or MJD),Sp1,Sp2,radec,Simbad plx,GAIA plx,V,R,J,H,K,name
1,1,72.93,,22530.33,0.809,0,0.272,0.017,337.71,4.6,16.43,0.31,,,-6.56,0.28,1.25,,25.0,,5.0,1926PDAOnan.3..341H,DAO,PUB,JD,K1III,,000520141-05422743,0.3845,0.817156482159,7.4000000953674325,,6.892000198364258,6.8499999046325675,6.776999950408936,HD 28
2,1,4.61,,42297.2,,0,0.0,,0.0,,9.3,,,,-70.0,,,,,,1.0,1975ApJnan200..122H,DAO,PUB,JD,O8fp,,000603386+63404676,2.3806,,6.21999979019165,,3.8440001010894775,3.015000104904175,2.877000093460083,HD 108
3,1,96.439,,44288.7,,0,0.04,,152.0,,24.3,,,,-0.4,,,,,,4.0,1985PASPnan97..355B,DAO,PUB,JD,K2III,,000812096-02265176,33.62,,2.059999942779541,2.0899999141693115,2.299999952316284,2.3299999237060547,2.369999885559082,HD 352
4,1,96.696,,42056.32,,0,0.52,,77.1,,30.1,,,,-11.6,,,,,,4.0,1976PDAOnan14..379A,DAO,PUB,JD,A0p,,000823259+29052555,8.8387,8.139656655469999,6.46999979019165,,6.007999897003174,5.953000068664551,5.928999900817871,HD 358
5,1,34.2601,,43041.27,,0,0.41,,140.9,,35.5,,,,6.9,,,,,,2.0,1985JRASC..79nan49H,DAO,PUB,JD,A4Vm,,000900161+28145115,1.1428,1.3602242911000002,,,7.166999816894531,6.583000183105469,6.373000144958496,HD 434
6,1,36.561,,46358.920999999995,,1,0.0,,0.0,,27.0,,91.1,,-6.5,,,,,,2.0,1988A&Anan207nan37A,DAO,PUB,JD,A6shell,K3III,001042067+54532937,4.5876,,,,11.074999809265137,10.930999755859377,10.822999954223633,HD 232121
7,1,0.1758,,45938.91,,0,0.0,,0.0,,108.0,,,,47.0,,,,,,1.0,1985AJnan..90.2082T,DAO,PUB,JD,,,00112478-1128431,1.2718,1.75248731482,7.079999923706055,,6.489999771118164,6.429999828338622,6.331999778747559,GAIADR2 2427474150870397056
8,1,55.9212,,43317.0,,0,0.04,,17.0,,87.5,,,,-25.6,,,,,,3.0,1978PASPnan90..179H,DAO,PUB,JD,B7II-Ib,B,001137147+58124259,8.0774,7.577823556639999,6.622000217437744,,6.2129998207092285,6.177999973297119,6.15399980545044,HD 698
9,1,11.2153,,40493.9,,0,0.22,,21.0,,43.8,,,,-12.5,,,,,,3.0,1971A&Anan.14..189A,DAO,PUB,JD,A2m,,001312730+62022716,13.3128,,6.010000228881836,,5.388999938964844,5.2829999923706055,5.242000102996826,HD 861
10,1,0.8417,,36094.121,,0,0.0,,0.0,,89.9,,96.8,,2.6,,,,,,3.0,N1959,DAO,PUB,JD,F1IV-V,F1IV-V,001458839+08491546,33.8614,,6.852000236511231,6.4749999046325675,5.566999912261963,5.195000171661377,5.111000061035156,HD 1061
11,1,411.449,0.79,34233.31,0.77,0,0.5671,0.0041,4.68,0.79,13.88,0.1,,,-14.32,0.08,1.8394,,,,3.0,1970MNRAS.147..355B,DAO,PUB,JD,G2V,,001653895-52390413,0.5522,,6.139999866485597,,6.2829999923706055,6.386000156402588,6.370999813079834,HD 1273
12,1,3.5236,,35957.058,,0,0.04,,20.8,,223.4,,174.8,,-31.1,,,,,,4.0,1959ApJSnan.4..157A,DAO,PUB,JD,O9III,O9III,001743062+51255913,2.7338,2.99841988426,10.119999885559082,,9.35200023651123,9.187999725341797,9.135000228881836,HD 1337
13,1,0.5948,,40477.7743,,1,0.0,,0.0,,88.5,,250.0,,20.6,,,,,,3.0,1986MNRAS.223..581H,DAO,PUB,JD,F2,,001721512-71545684,0.2994,0.303024263128,7.630000114440918,,7.0960001945495605,7.054999828338622,6.992000102996826,HD 1372
14,1,20.2819,,45908.39,,0,0.05,,178.0,,113.7,,116.6,,-35.8,,,,,,3.0,1986PDAOnan16..193H,DAO,PUB,JD,B0-B0.5Ib,B0-B0.5Ib,001817737+61433740,4.1691,,7.21999979019165,,6.9000000953674325,6.8309998512268075,6.787000179290772,HD 1383
15,1,1.8127,,22584.28,,0,0.0,,0.0,,87.9,,,,0.5,,,,,,3.0,1922PDAOnan.2..141P,DAO,PUB,JD,B9V,,001918742+59082055,7.502000000000001,6.775106624609999,6.940000057220459,,6.556000232696532,6.556000232696532,6.505000114440918,HD 1486
16,1,1.4323,,29189.577,,0,0.02,,202.0,,53.4,,,,4.4,,,,,,4.0,1949PDDOnan.1..473T,DAO,PUB,JD,A3V,,002249878+29271541,2.0208,,5.579999923706055,,5.738999843597412,5.841000080108643,5.84499979019165,HD 1826
17,1,27.8,,35000.0,,9,0.2,,140.0,,30.0,,,,-18.0,,,,,,1.0,1963ApJnan137..791B,DAO,PUB,JD,B5IV,,002415657+52011169,4.3005,,6.75,,6.755000114440918,6.829999923706055,6.834000110626222,HD 1976
18,1,3.1128,,31731.97,,0,0.03,,339.0,,79.6,,134.7,,4.8,,,,,,3.0,1949PDDOnan.1..487H,DAO,PUB,JD,B8VHgMn,,002439678+31222300,5.8393,,5.7189998626708975,,5.754000186920166,5.798999786376952,5.809999942779541,HD 2019
19,1,48.2905,,45240.6,,0,0.38,,320.0,,30.1,,,,3.4,,,,,,3.0,1983A&ASnan53nan29H,DAO,PUB,JD,B9IV,,002506411+53024843,27.016,,6.820000171661378,,5.7129998207092285,5.421000003814697,5.335999965667725,HD 2054
20,1,115.33,,35627.6,,0,0.33,,18.7,,15.3,,,,8.3,,,,,,3.0,1967RGOB..130..355B,DAO,PUB,JD,G4IV-V,,002444816-51023792,38.5,,2.369999885559082,,0.5789999961853027,-0.09000000357627869,-0.17000000178813934,HD 2070
21,1,3848.83,,16201.85,,0,0.34,,19.8,,5.8,,,,75.2,,,,,,3.0,1924AnCap..10nan.7L,DAO,PUB,JD,K0III,,002617051-42182153,3.1631,,8.199999809265138,,6.309999942779541,5.810999870300293,5.65500020980835,HD 2261
22,1,936.0,,42531.9,,0,0.0,,0.0,,12.6,,,,-20.0,,,,,,4.0,1979Obsnan.99nan87G,DAO,PUB,MJD,K1III,,002723423+30533599,11.2634,,5.172999858856201,,5.360000133514403,5.037000179290772,4.985000133514403,HD 2343
23,1,3.9558,,18841.59,,0,0.15,,233.2,,41.7,,,,2.0,,,,,,3.0,1912PAllOnan2..191U,DAO,PUB,JD,A2Vs,,002813654+44234003,0.4222,0.7151873292190001,8.630000114440918,,6.535999774932861,5.994999885559082,5.85699987411499,HD 2421
24,1,688.0,,45779.0,,0,0.28,,26.0,,14.0,,,,-38.1,,,,,,2.0,1987AJnan..94..403H,DAO,PUB,JD,F5-G3Ib,,002958591+60124306,0.5232,0.47139604376999994,8.869999885559082,,6.7170000076293945,6.313000202178955,6.164999961853027,HD 236429
25,1,2440.0,,46335.0,,0,0.14,,84.0,,15.1,,,,-38.0,,,,,,3.0,1987AJnan..94..403H,DAO,PUB,JD,F5Ib,,003005998+60090410,0.2533,0.027829031491299998,10.789999961853027,,10.35099983215332,10.26099967956543,10.286999702453613,HD 236433
26,1,1.2435,,27951.931,,0,0.2,,330.0,,93.0,,,,-45.0,,,,,,1.0,1947ApJnan106nan92S,DAO,PUB,JD,B3,,003330381+62304018,47.05,,5.201000213623047,,4.3480000495910645,3.96399998664856,3.900000095367432,GAIADR2 430730248515346560
27,1,2.0819,,24548.6,,0,0.01,,280.0,,38.4,,,,,,,,,,3.0,1933ApJnan.78..225L,DAO,PUB,JD,F8V,,003514879-03353425,2.2591,,7.519999980926514,,7.624000072479247,7.730999946594237,7.742000102996826,HD 3196
28,1,13.504000000000001,,31673.55,,0,0.51,,152.4,,23.7,,,,-5.2,,,,,,3.0,1949PDDOnan.1..499S,DAO,PUB,JD,B2V,,003615457+48332074,4.7013,,6.500999927520753,,6.561999797821045,6.6579999923706055,6.638999938964844,HD 3264
29,1,399.6,,40462.38,,0,0.57,,304.0,,8.1,,,,4.0,,,,,,2.0,1984A&ASnan57nan55S,DAO,PUB,JD,B8IIIp,,003620100+27151715,4.9507,,5.129000186920166,,2.256999969482422,1.375,1.2630000114440918,HD 3322
30,1,576.2,3.5,43787.5,22.0,0,0.3,0.06,279.0,15.0,0.69,0.08,,,-33.62,0.05,,,104.0,,3.0,1985PASPnan97..740M,DAO,PUB,MJD,K5III,,003646441+44291891,5.45,,4.360000133514403,4.400000095367432,4.650000095367432,4.679999828338623,4.625,HD 3346
31,1,143.6065,,27898.567000000003,,0,0.56,,349.0,,47.5,,117.4,,8.4,,,,,,5.0,1936PASPnan48..214P,DAO,PUB,JD,B5V,B5V,003652850+33430964,3.5955,3.31894994917,10.3100004196167,,9.717000007629396,9.58199977874756,9.494999885559082,HD 3369
32,1,0.5116,,43450.1332,,1,0.0,,0.0,,105.2,,,,30.6,,,,,,3.0,1986MNRAS.223..581H,DAO,PUB,JD,F0,G8,0036280866-254022916,22.52,,6.78,,5.664,5.398,5.303,CD -26 179
33,1,3.7418,,30001.444,,0,0.01,,12.8,,84.9,,86.8,,-3.0,,,,,,3.0,1962RGOBnan61nan91B,DAO,PUB,JD,G3V,G8V,003637976-49075636,30.91,,3.28,2.36,1.18,0.40299999999999997,0.43,HD 3405
34,1,20157.7,,15568.0,,0,0.34,,356.1,,4.0,,,,-8.5,,,,,,1.0,1976JRASC..70nan23B,DAO,PUB,JD,K3III,,003919676+30513969,14.8882,,,10.404999732971193,9.265000343322754,8.645000457763674,8.48900032043457,HD 3627
35,1,0.2337,,44060.8134,,1,0.0,,0.0,,96.0,,231.0,,-3.0,,,,,,2.0,1985AJnan..90..354M,DAO,PUB,JD,K5V,,004006264+50141553,2.1703,,4.809999942779541,4.820000171661377,5.02400016784668,5.072000026702881,5.083000183105469,GAIADR2 415494796916632192
36,1,940.2,,41738.0,,0,0.4,,119.0,,11.9,,,,-10.6,,,,,,2.0,1978ApJSnan36..241A,DAO,PUB,JD,B2V,,004203895+50304509,0.3629,,6.946000099182129,,6.697000026702881,6.752999782562256,6.702000141143799,HD 3901
37,1,5.5429,,44924.1,,2,0.0,,0.0,,34.9,,77.0,,-82.3,,,,,,3.0,1986ApJSnan61..419G,DAO,PUB,JD,B1III,,004237989+52201375,46.0337,,,9.940999984741213,7.164000034332275,6.50600004196167,6.321000099182129,HD 3950
38,1,2.1703,,42708.359000000004,,2,0.0,,0.0,,72.1,,74.3,,-0.5,,,,,,2.0,1977PASPnan89nan65B,DAO,PUB,JD,dM1e,dM1e,004248252+35325562,18.5596,,4.948999881744385,,4.9099998474121085,4.764999866485597,4.584000110626222,BD +34 106
39,1,1.9642,,27535.74,,0,0.0,,0.0,,120.5,,122.1,,12.9,,,,,,5.0,1955MmSAI..27nan65M,DAO,PUB,JD,A5V,,004328070+47012837,24.0481,,5.381,,4.5,4.189,4.169,HD 4058
40,1,4.8202,,19299.11,,0,0.02,,269.3,,26.1,,,,14.1,,,,,,5.0,1929PASPnan41..371N,DAO,PUB,JD,F5,,004228373-65280491,10.4729,10.299836086000001,5.651999950408936,,5.585000038146973,5.644000053405763,5.602000236511231,HD 4089
41,1,4.4672235,,28733.0,,14,0.0,,0.0,,73.35,0.21,125.7,0.5,8.14,0.06,,,29.0,27.0,5.0,1981ApJnan251..591L,DAO,PUB,JD,A1V,,004539078+74591706,1.486,1.57010642432,7.21999979019165,,3.650000095367432,2.789999961853028,2.559999942779541,HD 4161
42,1,470.0,,43200.5,,0,0.0,,0.0,,8.6,,,,-94.8,,,,,,2.0,1985ApJnan295..620O,DAO,PUB,JD,M2IIIep,,004437187+40404571,4.64,,4.5,4.45,4.62,4.68,4.68,HD 4174
43,1,1033.0,,41665.0,,0,0.11,,79.0,,19.0,,,,-18.7,,,,,,1.0,1978ApJSnan36..241A,DAO,PUB,JD,B5IIIe,,004443518+48170371,4.3556,,5.413000106811523,,5.449999809265137,5.52400016784668,5.5349998474121085,HD 4180
44,1,33.75,,20577.41,,0,0.41,,269.7,,16.3,,,,-4.1,,,,,,3.0,1915PDAOnan.2..181Y,DAO,PUB,JD,B8III,,004746053+74505126,17.24,,4.059999942779541,3.2100000381469727,2.190000057220459,1.6150000095367432,1.5199999809265137,HD 4382
45,1,17.7692,,32756.058999999997,,2,0.0,,0.0,,26.3,,,,-23.7,,,,,,4.0,1950ApJnan111nan31G,DAO,PUB,JD,K1II,,004720325+24160184,43.0469,,,4.800000190734863,4.433000087738037,4.151999950408936,4.182000160217285,HD 4502
46,1,13.8246,,41934.202000000005,,0,0.24,,199.6,,57.5,,58.8,,4.1,,,,,,4.0,1979A&ASnan35..203N,DAO,PUB,JD,F8V,,004858708+16562632,5.28,,4.53000020980835,4.559999942779541,4.849999904632568,4.920000076293945,4.929999828338623,HD 4676
47,1,4.2827,,18155.67,,0,0.03,,25.0,,71.7,,101.9,,-23.5,,,,,,3.0,1978ApJSnan36..241A,DAO,PUB,JD,B5V,F8V,004948847+41044408,0.3074,0.5033429802939999,8.90999984741211,,6.664000034332275,6.370999813079834,6.1459999084472665,HD 4727
48,1,197.28,,35772.9,,1,0.0,,0.0,,35.6,,,,-50.5,,,,,,1.0,1977PASPnan89..315P,DAO,PUB,JD,A5Ia,,005445950+64050516,6.06,,5.565999984741211,,5.60099983215332,5.702000141143799,5.683000087738037,BD +63 110
49,1,4.2424,,42968.4,,0,0.46,,76.7,,88.2,,121.5,,-3.2,,,,,,3.0,N????,DAO,PUB,JD,B9IVn,,005646973+60214621,14.2,,4.420000076293945,3.690000057220459,2.789999961853028,2.3989999294281006,2.240000009536743,HD 5408
50,1,115.71,,30119.11,,0,0.01,,166.4,,17.9,,19.8,,-10.3,,,,,,4.0,1946ApJnan103nan13G,DAO,PUB,JD,G8III-IV,G8III-IV,005712400+23250353,2.6524,,6.818999767303468,,6.964000225067139,7.058000087738037,7.070000171661378,HD 5516
51,1,10.418,,28013.922000000002,,0,0.13,,20.9,,64.3,,,,-12.9,,,,,,3.0,N1937,DAO,PUB,JD,B5s,,005843100+47021171,5.0353,4.90925433727,6.920000076293945,,6.4730000495910645,6.35699987411499,6.25,HD 5638
52,1,2.493,,38270.939,,1,0.0,,0.0,,120.0,,182.0,,-2.0,,,,,,1.0,1974PDAOnan14..191B,DAO,PUB,JD,B7V,G8III-IV,010218444+81523207,0.0608,,11.31,,11.11,11.01,10.77,HD 5679
53,1,19.266,,44264.9,,0,0.49,,190.0,,255.0,,,,78.0,,,,,,1.0,1982ApJnan257..116B,DAO,PUB,JD,WN4,O7I,005926569-72095391,8.3566,,5.5,,5.552999973297119,5.617000102996826,5.614999771118164,HD 5980
54,1,81.12,,31308.667,,0,0.9,,345.2,,54.3,,60.0,,10.4,,,,,,3.0,1947ApJnan105..229B,DAO,PUB,JD,B9V,,010249097+31481535,5.0276,5.41240859306,12.43000030517578,,12.454000473022461,11.746999740600586,11.5600004196167,HD 6118
55,1,0.2115,,44135.907999999996,,0,0.0,,0.0,,99.0,,,,17.0,,,,,,1.0,1982PASPnan94..102H,DAO,PUB,JD,sdBe,,01043554+4117578,0.0146,,12.3,,12.876,13.020999999999999,12.995,GAIADR2 374510294830244992
56,1,6.537999999999999,,43475.6,,0,0.0,,0.0,,62.0,,345.0,,171.0,,,,,,2.0,1984PASPnan96..811H,DAO,PUB,JD,WN3,O6.5-7,01032522-7206440,132.38,,5.170000076293945,4.550000190734863,4.0300002098083505,3.5999999046325684,3.5,GAIADR2 4690509113669470592
57,1,8393.0,,34753.0,,0,0.3,,178.0,,2.8,,,,-98.0,,,,,,1.0,1977ApJnan217..134W,DAO,PUB,JD,G5VI,,010816394+54551322,5.6793,5.790293767250001,6.610000133514403,6.539999961853027,6.352000236511231,6.348999977111816,6.308000087738037,HD 6582
58,1,10.6157,,30002.145,,0,0.22,,27.4,,52.2,,50.2,,17.9,,,,,,3.0,1962RGOBnan61nan91B,DAO,PUB,JD,Am,Am,010626579-35393839,7.072,,12.600000381469727,,14.70300006866455,14.22599983215332,13.843000411987305,HD 6619
59,1,0.0736,,43727.9372,,3,0.0,,0.0,,115.0,,,,11.0,,,,,,1.0,1981ApJnan245.1035Y,DAO,PUB,JD,em,,01101313+6004354,10.92,,4.013999999999999,,4.22,4.21,4.2,GAIADR2 426306363477869696
60,1,1.6698,,41643.689,,1,0.0,,0.0,,131.5,,202.6,,17.2,,,,,,4.0,1983A&Anan118..255A,DAO,PUB,JD,B6V,B8V,010823082-55144474,5.8336,5.938475541340001,8.600000381469728,,7.301000118255615,6.934999942779541,6.818999767303468,HD 6882
61,1,24.5923,,43410.6885,,1,0.19,,109.9,,51.0,,49.2,,-1.8,,,,,,5.0,1988A&Anan196..128A,DAO,PUB,JD,F7V,K0IV,010934194-46155609,8.4982,10.0773087895,8.630000114440918,,6.750999927520753,6.289999961853027,6.158999919891357,HD 6980
62,1,1969.0,,44596.5,,0,0.59,,287.3,,8.3,,,,-47.0,,,,,,4.0,1984MNRAS.210..745G,DAO,PUB,MJD,K0,,011322579+27362329,0.8831,0.6774819140270001,7.610000133514403,,5.170000076293945,4.190999984741212,4.081999778747559,HD 7272
63,1,659.9,,43375.9,,0,0.5,,154.1,,19.5,,,,-29.2,,,,,,4.0,1980JRASC..74..348G,DAO,PUB,JD,K5III,,011345298+26143001,,,7.52,,,,,HD 7308
64,1,5.3337,,46303.7,,0,0.16,,100.2,,79.1,,83.4,,4.6,,,,,,4.0,1987A&Anan178..114D,DAO,PUB,JD,F7IV,,011445828+60562043,24.2497,25.107327779200002,6.320000171661378,,5.322000026702881,5.0879998207092285,4.989999771118164,HD 7331
65,1,9.0753,,44947.09,,0,0.04,,127.0,,53.4,,75.3,,10.7,,,,,,4.0,1984PASPnan96..179B,DAO,PUB,JD,F7V,G7V,011345266+07344174,5.6996,,5.9619998931884775,,6.065000057220459,6.210000038146973,6.2129998207092285,HD 7345
66,1,800.9,,19264.2,,0,0.31,,201.0,,3.5,,,,-15.2,,,,,,2.0,1984A&ASnan57nan55S,DAO,PUB,JD,B8III,,011407630+16080052,0.1042,0.11334080030200001,11.140000343322754,10.329999923706056,8.597000122070312,8.295999526977539,8.107000350952147,HD 7374
67,1,11.591,,44134.3,,0,0.0,,0.0,,17.0,,,,-56.0,,,,77.0,,2.0,1985ApJnan299..839C,DAO,PUB,JD,B0.5II,,011802697+65172984,13.4527,,5.427999973297119,,4.066999912261963,3.3919999599456787,3.384000062942505,GAIADR2 524924310153249920
68,1,56.8147,,46080.595,,0,0.04,,181.3,,7.2,,,,-30.2,,,,,,3.0,N????,DAO,PUB,JD,G5IIIe,,011636288-02300133,,,,,,,,HD 7672
69,1,24.309,,43540.950999999994,,0,0.34,,47.7,,133.7,,,,,,,,,,5.0,1978ApJnan224Lnan1R,DAO,PUB,JD,em,,01183190+6344240,0.3155,0.31133766740400004,10.3100004196167,,8.479000091552733,8.296999931335451,8.126999855041504,GCVS V635 Cas
70,1,11.7203,,26279.5,,0,0.0,,0.0,,160.0,,120.0,,-20.0,,,,,,1.0,1946ApJnan103nan76S,DAO,PUB,JD,B3,B9,011910345+62234838,,,13.149999618530273,,13.44499969482422,13.512999534606935,13.473999977111815,BD +61 242
71,1,3.8922,,42838.628,,4,0.0,,0.0,,299.5,,19.0,,180.0,,,,,,5.0,1977ApJnan217..543P,DAO,PUB,JD,B0I,,011705146-73263603,15.975999999999999,,8.161999702453612,7.800000190734862,6.763000011444093,6.334000110626222,6.202000141143799,Misc SMC X-1
72,1,0.5158,,45603.485,,5,0.0,,0.0,,77.2,,84.3,,-82.8,,,,,,2.0,1985ApJnan297..691B,DAO,PUB,JD,G5V,G5V,012250295+00424339,15.9805,,5.586999893188477,,5.059999942779541,4.99399995803833,4.9670000076293945,HD 8358
73,1,35.371,,21894.691000000003,,0,0.63,,320.1,,39.0,,40.5,,13.3,,,,,,5.0,1967JRASC..61nan56F,DAO,PUB,JD,F2m,F2m,012340616+37425379,21.44,,5.918000221252441,,5.156000137329102,4.9790000915527335,4.879000186920166,HD 8374
74,1,5895.01,,41588.76,,0,0.92,,0.0,,40.1,,,,,,,,,,2.0,1973JRASC..67..255F,DAO,PUB,JD,F4V,,012420503-06545276,13.8047,,6.186999797821045,14.220000267028807,5.320000171661377,5.129000186920166,5.026000022888184,HD 8556
75,1,5.4291,,33243.762,,0,0.38,,322.5,,14.5,,,,-15.9,,,,,,3.0,1954PDAOnan.9..407W,DAO,PUB,JD,F5III,,012535678+23304147,7.54,,2.0199999809265137,1.5299999713897705,0.7950000166893005,0.4600000083446503,0.5199999809265137,HD 8634
76,1,11125.3,,25422.41,,0,0.64,,307.2,,4.1,,,,-16.4,,,,,,4.0,1965ApJnan141.1415R,DAO,PUB,JD,F8Ib,(A5),023149084+89155079,35.2575,,,5.599999904632568,5.0900001525878915,4.633999824523926,4.599999904632568,HD 8890
77,1,134.078,,29000.432999999997,0.266,0,0.31,0.016,188.2,2.1,19.92,0.3,,,1.1,0.3,,,,,3.0,1954PDAOnan.9..407W,DAO,PUB,JD,F6V,,013113756+70155257,13.96,,3.4100000858306885,,0.6110000014305115,-0.3240000009536743,-0.4970000088214874,HD 9021
78,1,193.79,,19544.92,,0,0.0,,0.0,,16.0,,,,26.0,,,,,,4.0,1936ApJnan.84nan85L,DAO,PUB,JD,K5Ib,,012821927-43190564,1.2115,1.59772926792,8.010000228881836,,7.6500000953674325,7.658999919891357,7.639999866485597,HD 9053
79,1,3.6877,,25571.558999999997,,0,0.06,,102.8,,52.9,,,,-51.2,,,,,,2.0,1969A&Anan..2..388Y,DAO,PUB,JD,B8,,013205487+54010827,16.9702,,,6.199999809265138,5.0900001525878915,4.684000015258789,4.75,HD 9234
80,1,36.588,,28088.87,,0,0.2,,178.8,,30.0,,,,-3.4,,,,,,3.0,1940PDDOnan.1..194H,DAO,PUB,JD,G5,,013203126+16565003,9.6602,8.24541319502,7.809999942779541,,6.061999797821045,5.629000186920166,5.482999801635742,HD 9312
81,1,53.5044,,39810.88,,0,0.39,,278.1,,24.3,,,,-14.8,,,,,,4.0,1975Obsnan.95nan98G,DAO,PUB,MJD,G5,,013154858+16024905,19.449,,8.149999618530272,,6.577000141143799,6.2880001068115225,6.181000232696532,HD 9313
82,1,0.3624,,43080.6076,,1,0.0,,0.0,,118.2,,256.5,,-9.5,,,,,,2.0,1978AcAnan.28nan49D,DAO,PUB,JD,G0,,013232931-49314129,0.0289,,12.899999618530273,,13.300999641418455,13.338000297546387,13.284000396728516,HD 9528
83,1,16.644000000000002,,44985.1,,6,0.0,,0.0,,35.0,,132.0,,146.0,,,,,,1.0,1985ApJnan292..511M,DAO,PUB,JD,O4V,WO4,01310413-7325038,1.9286,1.9076131944099999,8.75,,6.402999877929688,5.677000045776367,5.583000183105469,GAIADR2 4686266480552667776
84,1,183.01,,42858.4,,0,0.19,,17.0,,15.9,,,,-13.3,,,,,,3.0,1982MNRAS.201..487G,DAO,PUB,MJD,K0,,013624647+24130068,0.3131,0.364066745894,10.6899995803833,,10.237000465393066,10.133999824523926,10.008999824523926,HD 9828
85,1,46.85,,38670.0,,7,0.0,,0.0,,33.0,,,,100.0,,,,,,1.0,1986AJnan..91.1392M,DAO,PUB,JD,WN3,abs,013855628+58092268,0.2605,0.633133527785,9.220000267028807,,5.28000020980835,4.2230000495910645,4.099999904632568,HD 9974
86,1,3406.0,,39641.0,,0,0.49,,5.2,,25.8,,,,-36.3,,,,,,2.0,1977PASPnan89..882C,DAO,PUB,JD,M0epIb:,B,014216512+61251634,17.5826,17.5245011775,6.202000141143799,,5.3530001640319815,5.163000106811523,5.084000110626222,BD +60 310
87,1,4.4347,,21940.987,,0,0.11,,295.6,,81.5,,88.6,,4.6,,,,,,3.0,1921ApJnan.53..201S,DAO,PUB,JD,F2III,F2III,014118375+25444457,4.54,,4.06,3.9,3.84,3.69,3.36,HD 10308
88,1,126.696,1.9869999999999999,43555.3,71.7,0,0.02,0.04,145.0,203.0,16.8,1.7,105.3,7.4,-8.4,1.4,,,,,2.0,1981PASPnan93..297P,DAO,PUB,JD,B2Vep,,014339637+50411944,7.4545,7.66613954485,6.300000190734862,,4.948999881744385,4.3429999351501465,4.205999851226807,HD 10516
89,1,78.0073,,31730.549,,0,0.02,,359.4,,20.1,,,,-3.7,,,,,,4.0,1949PDDOnan.1..490N,DAO,PUB,JD,G8III-IV,,014350144+32113125,7.6464,,,,14.317999839782715,13.664999961853027,13.253999710083008,HD 10588
90,1,0.0785,,45282.573,,2,0.0,,0.0,,142.0,,,,28.0,,,,,,1.0,1985PASPnan97..423H,DAO,PUB,JD,em,,01410038-6753274,6.4014,6.935054700039999,10.609999656677246,,9.449000358581543,9.036999702453613,8.956999778747559,GAIADR2 4697621824327141248
91,1,0.3169,,30656.425,,0,0.0,,0.0,,135.0,,255.0,,20.0,,,,,,1.0,1950ApJnan111R.658S,DAO,PUB,JD,G5,G5,014854144-20533460,6.5107,,5.689000129699707,,5.723999977111816,5.803999900817871,5.811999797821045,BD -21 311
92,1,5.627,,40281.3,,0,0.02,,208.0,,26.5,,,,11.4,,,,,,4.0,1975JRASC..69nan22H,DAO,PUB,JD,B9p,,015209371+50473406,14.7225,,3.7200000286102295,2.9200000762939453,1.919999957084656,1.3300000429153442,1.2200000286102295,HD 11291
93,1,1652.0,,14377.6,,0,0.59,,85.0,,3.3,,,,9.2,,,,,,1.0,1928AnCap..10nan.8S,DAO,PUB,JD,K2III,,015127634-10200614,51.5,,3.4200000762939453,3.0,2.509999990463257,2.181999921798706,2.240000009536743,HD 11353
94,1,1.767,,43440.16,,0,0.07,,145.0,,10.6,,,,-16.2,,,,,,3.0,1978AcAnan.28..235P,DAO,PUB,JD,F6IV,,015304908+29344379,5.0936,,4.9679999351501465,,5.13700008392334,5.127999782562256,5.132999897003174,HD 11443
95,1,69.92,,20426.02,,0,0.3,,50.0,,29.6,,,,-24.8,,,,,,3.0,1915PDOnan..2nan89Y,DAO,PUB,JD,B8III,,015600026+68410687,2.0931,1.88993838528,7.039999961853027,,4.609000205993652,3.786999940872192,3.6459999084472656,HD 11529
96,1,1629.0,,43560.5,,0,0.32,,119.0,,5.5,,,,-26.6,,,,,,4.0,1979Obsnan.99..124G,DAO,PUB,MJD,K2,,015437889+40392145,7.0092,,6.248000144958496,,4.00600004196167,3.371999979019165,3.1730000972747803,HD 11579
97,1,838.0,,43521.5,,0,0.0,,0.0,,4.3,,,,31.9,,,,,,3.0,1981Obsnan101..175G,DAO,PUB,MJD,K2,,015453784+40420732,55.6,,2.650000095367432,2.509999990463257,2.5,2.4300000667572017,2.380000114440918,HD 11613
98,1,106.9973,,40208.398,,0,0.9,,20.0,,37.1,,66.6,,-4.0,,,,,,4.0,1971PDDOnan.3nan99G,DAO,PUB,JD,A5V,,015438409+20482893,7.8376,7.6868416150800005,6.639999866485597,,6.48799991607666,6.504000186920166,6.52400016784668,HD 11636
99,1,7.4391,,41210.568,,0,0.0,,0.0,,31.6,,35.6,,-9.5,,,,,,3.0,1972PDAOnan14nan97B,DAO,PUB,JD,A0V,,015818536+59373343,2.1968,2.4106972426,10.520000457763672,,9.652999877929688,9.480999946594238,9.406999588012695,HD 11860
100,1,1.0105,,36142.405,,1,0.0,,0.0,,110.0,,180.0,,5.4,,,,,,2.0,1986BAASnan18..682S,DAO,PUB,JD,F3IV-Vnnp,F8,015746056+38042844,6.27,,5.105000019073486,,3.746000051498413,3.3059999942779537,3.0720000267028813,BD +37 435
