Seq|Star|RAJ2000|DEJ2000|Dist|n_Dist|Age|Hmag|SpType|MA|l_MB|MB|l_rho|rho|l_Per|Per|x_Per|l_Ecc|Ecc|l_acrit|acrit|Ref|SimbadName
 50|1RXSJ091744.5+461229AB   |09 17 44.730|+46 12 24.70| 32.00| |  50| 7.490|M2.5      | 0.480| | 0.350|  | 0.20000| |         |  | |      |  |24.100|B15                    |1RXSJ091744.5+461229
 51|HIP 47133                |09 36 15.930|+37 31 45.70| 33.70| |4000| 7.430|M0.5      | 0.580| | 0.580|  |        | |         |  | |      |< | 1.000|B15                    |HIP 47133
 52|HIP 49669                |10 08 22.310|+11 58 01.90| 23.80| | 600| 1.660|B7V       | 3.400| | 0.300|  |        | |   40.110|  | | 0.000|  | 0.670|JB11, N13              |HIP 49669
 53|HIP 49809                |10 10 05.890|-12 48 57.32| 27.70| | 800| 4.460|F3V       | 1.410| | 0.200|  |        | |   28.100|  | | 0.070|  | 0.490|J13                    |HIP 49809
 54|HIP 50156                |10 14 19.180|+21 04 29.55| 23.10| | 150| 6.450|M07V      | 0.610|~| 0.190|  |        |~|  100.000|  | |      |~ | 1.500|B13, B15, SONG         |HIP 50156
 55|TWA 22                   |10 17 26.900|-53 54 28.00| 18.00| |  24| 8.080|M6        | 0.120| | 0.100|  | 0.10000| |    5.150|yr| | 0.090|  | 4.770|CH10, SONG             |TWA 22
 56|TYC 7188-0575-1          |10 22 04.500|-32 33 27.00| 43.20| |4000| 7.385|K0V:e     | 0.710| | 0.350|  |        | |         |  | |      |< |10.000|NLP                    |TYC 7188-0575-1
 57|CHXR 74                  |11 06 57.330|-77 42 10.67|160.00| |   2|10.510|M4.25     | 0.240| | 0.080|  | 0.02300| | 4770.000|d | | 0.000|  | 8.880|JJ12                   |CHXR 74
 58|TWA 5Aab                 |11 32 50.260|-34 36 27.23| 50.10| |  10| 7.350|M8.5      | 0.390| | 0.510|  | 0.06370| |    6.025|yr| | 0.755|  |12.490|L05                    |TWA 5
 59|HD 102982                |11 51 09.140|-51 52 32.30| 62.10| |4000| 6.960|G3V       | 1.090| | 1.090|  |        | |    0.277|  | |      |  | 0.030|L05                    |HD 102982
 60|TWA 23                   |12 07 27.400|-32 47 00.00| 53.90| |  10| 8.020|M1        | 0.350| | 0.120|  |        | | 1522.000|  |~| 0.700|  | 8.400|CH10, SONG, L15        |TWA 23
 61|HIP 59960                |12 17 53.190|-55 58 31.89| 92.10| |  17|      |F5V       | 1.370| | 1.340|  |        | |         |  | |      |~ | 2.000|JL13                   |HIP 59960
 62|G13-33                   |12 22 50.620|-04 04 46.24| 15.00| | 150| 9.110|M4.5      | 0.130| | 0.120|  | 0.09000| |         |  | |      |  | 4.900|B15                    |G13-33
 63|HIP 60553                |12 24 47.300|-75 03 09.40| 72.62| |4000| 7.800|K3Ve      | 0.920| | 0.860|  |        | |         |  | |      |< | 1.000|B07                    |HIP 60553
 64|GJ 3729                  |12 29 02.900|+41 43 49.70| 17.00| |  45| 8.180|M4        | 0.260| | 0.180|  | 0.05000| |         |  | |      |  | 3.200|B15                    |GJ 3729
 65|TWA 20                   |12 31 38.070|-45 58 59.40| 77.50| |  15| 8.693|M2        | 0.500| | 0.450|  |        | |         |  | |      |< | 2.000|BN13                   |TWA 20
 66|HIP 62983                |12 54 18.700|-11 38 54.90| 68.50| | 125| 5.850|A2V       | 2.200| | 1.290|  | 0.10000| |         |  | |      |  |26.200|V12                    |HIP 62983
